campaign_id,grammar,sqlite_version,run,timestamp_sec,total_edges,total_crashes,exec_count
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,74,12424,9,10309
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,75,12440,9,10309
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,76,12440,10,10309
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,77,12449,10,10309
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,78,12478,10,10309
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,79,12484,10,10309
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,80,12488,10,11427
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,81,12493,10,11770
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,82,12497,10,12039
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,83,12497,10,12225
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,84,12497,11,12333
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,85,12497,11,12743
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,86,12497,11,12949
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,87,12499,11,13148
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,88,12499,11,13540
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,89,12955,11,13759
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,90,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,91,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,92,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,93,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,94,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,95,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,96,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,97,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,98,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,99,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,100,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,101,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,102,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,103,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,104,12955,11,14040
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,105,12955,11,14451
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,106,12955,11,14660
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,107,12955,11,14860
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,108,12955,11,15190
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,109,12955,11,15602
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,110,12955,11,15937
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,111,12955,11,16177
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,112,12958,11,16177
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,113,12971,11,16177
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,114,12973,11,16177
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,115,13006,11,16177
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,116,13012,11,16177
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,117,13012,11,16177
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,118,13015,11,16177
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,119,13016,11,17332
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,120,13016,11,17590
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,121,13016,11,17885
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,122,13016,11,18297
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,123,13017,11,18636
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,124,13017,11,18828
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,125,13017,11,19099
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,126,13017,11,19195
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,127,13017,11,19195
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,128,13017,11,19195
v3.3_uniform_sqlite-3.31.1_run1,v3.3_uniform,sqlite-3.31.1,1,129,13017,11,19195
